Dataset,Sample,Prediction
atcosim_corpus,atcosim_corpus/sample_41.wav,shamrock four eight two two descend to flight level two five zero
atcosim_corpus,atcosim_corpus/sample_42.wav,lufthansa eight two two one descend to flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_43.wav,united six nine resume own navigation to fusse
atcosim_corpus,atcosim_corpus/sample_44.wav,yeah united six nine just cleared of traffic descend to flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_45.wav,adria one six four two contact reims one three four decimal four good bye
atcosim_corpus,atcosim_corpus/sample_46.wav,lufthansa four six five two cont  correction resume own navigation to st prex
atcosim_corpus,atcosim_corpus/sample_47.wav,shamrock four eight two two milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_48.wav,alitalia four eight five good morning roger
atcosim_corpus,atcosim_corpus/sample_49.wav,yeah continue
atcosim_corpus,atcosim_corpus/sample_50.wav,iberia three four two two own navigation to nelli
atcosim_corpus,atcosim_corpus/sample_51.wav,adria one six four two reims one three four decimal four good bye
atcosim_corpus,atcosim_corpus/sample_52.wav,united six nine milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_53.wav,adria one six four two
atcosim_corpus,atcosim_corpus/sample_54.wav,alitalia two nine two rhein one two zero nine two ciao
atcosim_corpus,atcosim_corpus/sample_55.wav,alitalia two nine two rhein one two zero nine two
atcosim_corpus,atcosim_corpus/sample_56.wav,sabena eight two six alfa rhein one two zero nine two good bye
atcosim_corpus,atcosim_corpus/sample_57.wav,lufthansa four four one six good morning radar contact
atcosim_corpus,atcosim_corpus/sample_58.wav,lufthansa four six five two geneva one three three one five good bye
atcosim_corpus,atcosim_corpus/sample_59.wav,station calling
atcosim_corpus,atcosim_corpus/sample_60.wav,netherlands four one four descend now to flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_61.wav,lufthansa four six five two
atcosim_corpus,atcosim_corpus/sample_62.wav,alitalia four eight five turn left heading one seven zero
atcosim_corpus,atcosim_corpus/sample_63.wav,jet aviation seven zero one good morning squawk two seven three two
atcosim_corpus,atcosim_corpus/sample_64.wav,air malta one hundred turn now left to trasadingen then luxeuil
atcosim_corpus,atcosim_corpus/sample_65.wav,netherlands four one four descend to flight level two five zero
atcosim_corpus,atcosim_corpus/sample_66.wav,turkair nine two five good morning squawk one zero zero five
atcosim_corpus,atcosim_corpus/sample_67.wav,alitalia four eight five descend to flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_68.wav,iberia three four two two contact rhein one three two decimal four adios
atcosim_corpus,atcosim_corpus/sample_69.wav,aero lloyd correction europa three six one good morning roger
atcosim_corpus,atcosim_corpus/sample_70.wav,alitalia four zero one for track correction right heading one eight zero
atcosim_corpus,atcosim_corpus/sample_71.wav,alitalia four eight five own navigation to saronno
atcosim_corpus,atcosim_corpus/sample_72.wav,lufthansa eight two two one contact milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_73.wav,lufthansa four five seven five rhein one three two decimal four good bye
atcosim_corpus,atcosim_corpus/sample_74.wav,alitalia four zero one resume own navigation to canne
atcosim_corpus,atcosim_corpus/sample_75.wav,netherlands four one four milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_76.wav,aero lloyd five nine zero milan one three four five two tschuss
atcosim_corpus,atcosim_corpus/sample_77.wav,jet aviation seven zero one is identified fly heading two five zero
atcosim_corpus,atcosim_corpus/sample_78.wav,jet aviation
atcosim_corpus,atcosim_corpus/sample_79.wav,correct
atcosim_corpus,atcosim_corpus/sample_80.wav,turkair nine two five is identified maintain level three two zero trasadingen morok
atcosim_corpus,atcosim_corpus/sample_81.wav,speed bird seven seven whiskey whiskey good morning squawk two seven two zero
atcosim_corpus,atcosim_corpus/sample_82.wav,alitalia four eight seven good morning roger
atcosim_corpus,atcosim_corpus/sample_83.wav,europa three six one report your heading
atcosim_corpus,atcosim_corpus/sample_84.wav,roger confirm heading zero three six
atcosim_corpus,atcosim_corpus/sample_85.wav,roger fly now heading zero four zero
atcosim_corpus,atcosim_corpus/sample_86.wav,speed bird seven seven whiskey whiskey is identified fly heading two five zero
atcosim_corpus,atcosim_corpus/sample_87.wav,india fox golf could you accept level three six zero
atcosim_corpus,atcosim_corpus/sample_88.wav,roger india fox golf climb to flight level three six zero thanks for cooperation
atcosim_corpus,atcosim_corpus/sample_89.wav,jet aviation seven zero one descend to flight level disregard maintain level three four zero
atcosim_corpus,atcosim_corpus/sample_90.wav,alitalia four eight five descend to flight level two five zero
atcosim_corpus,atcosim_corpus/sample_91.wav,contact milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_92.wav,india fox golf contact now rhein one three two decimal four good bye
atcosim_corpus,atcosim_corpus/sample_93.wav,air malta one hundred reims one three four four good bye
atcosim_corpus,atcosim_corpus/sample_94.wav,hapag lloyd three five five one guten tag expect lower in one minute
atcosim_corpus,atcosim_corpus/sample_95.wav,speed bird seven seven whiskey whiskey right heading two seven zero
atcosim_corpus,atcosim_corpus/sample_96.wav,lauda six eight six nine good morning maintain level three five zero when reaching
atcosim_corpus,atcosim_corpus/sample_97.wav,lufthansa three five five six good morning radar contact
atcosim_corpus,atcosim_corpus/sample_98.wav,jet aviation seven zero one descend to flight level three two zero
atcosim_corpus,atcosim_corpus/sample_99.wav,alitalia four zero one milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_100.wav,europa three six one own navigation direct tango
atcosim_corpus,atcosim_corpus/sample_101.wav,jet aviation seven zero one own navigation to st prex
atcosim_corpus,atcosim_corpus/sample_102.wav,lauda six eight six nine turn left heading zero nine five descend to flight level three three zero
atcosim_corpus,atcosim_corpus/sample_103.wav,turkish nine two five contact reims one three four decimal four good bye
atcosim_corpus,atcosim_corpus/sample_104.wav,lauda s  correction delta seven six good morning roger
atcosim_corpus,atcosim_corpus/sample_105.wav,europa three six one contact rhein one three two decimal four good bye
atcosim_corpus,atcosim_corpus/sample_106.wav,hamburg air two five zero zero guten tag roger
atcosim_corpus,atcosim_corpus/sample_107.wav,sabena nine three six nine guten tag roger
atcosim_corpus,atcosim_corpus/sample_108.wav,hapag lloyd three five five one descend now to flight level two five zero
atcosim_corpus,atcosim_corpus/sample_109.wav,hapag lloyd three five five one rate two thousand five hundred or more until passing three two zero
atcosim_corpus,atcosim_corpus/sample_110.wav,jet aviation seven zero one descend to flight level two five zero
atcosim_corpus,atcosim_corpus/sample_111.wav,speed bird seven seven whiskey whiskey own navigation direct to luxeuil
atcosim_corpus,atcosim_corpus/sample_112.wav,lauda six eight six nine resume own navigation to fusse descend to flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_113.wav,delta seven six lower in two minutes
atcosim_corpus,atcosim_corpus/sample_114.wav,jet aviation seven zero one milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_115.wav,speed bird seven seven whiskey whiskey contact reims one three four decimal four good day
atcosim_corpus,atcosim_corpus/sample_116.wav,lauda six eight six nine milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_117.wav,lufthansa four three seven six good afternoon roger
atcosim_corpus,atcosim_corpus/sample_118.wav,alitalia four eight seven descend to flight level two seven zero
atcosim_corpus,atcosim_corpus/sample_119.wav,hapag lloyd three five five one milan one three four five two good bye
atcosim_corpus,atcosim_corpus/sample_120.wav,delta seven six descend to flight level three zero zero
atcosim_corpus,atcosim_corpus/sample_121.wav,thank you bye
atcosim_corpus,atcosim_corpus/sample_122.wav,alitalia one five eight good afternoon squawk five seven two zero
atcosim_corpus,atcosim_corpus/sample_123.wav,tarom seven five three three contact reims one three four decimal four bye
atcosim_corpus,atcosim_corpus/sample_124.wav,french line nine one six five good afternoon radar contact proceed inbound zurich east fusse
atcosim_corpus,atcosim_corpus/sample_125.wav,lufthansa four seven zero three good afternoon radar contact maintain flight level three four zero zurich east fusse
atcosim_corpus,atcosim_corpus/sample_126.wav,alitalia one five eight radar contact call you back with direct
atcosim_corpus,atcosim_corpus/sample_127.wav,lufthansa five three zero five direct turn right ten degrees
atcosim_corpus,atcosim_corpus/sample_128.wav,air france one five zero nine good afternoon squawk two seven seven six climb flight level three four zero
atcosim_corpus,atcosim_corpus/sample_129.wav,that s correct stand that routing
atcosim_corpus,atcosim_corpus/sample_130.wav,air france one five zero nine your rate of climb will be
atcosim_corpus,atcosim_corpus/sample_131.wav,yes please at least two thousand and contact radar on one three three point four for higher bye bye
atcosim_corpus,atcosim_corpus/sample_132.wav,hamburg air two five zero two contact geneva one three three one five bye bye
atcosim_corpus,atcosim_corpus/sample_133.wav,lufthansa four three nine zero descend level two nine zero
atcosim_corpus,atcosim_corpus/sample_134.wav,good afternoon lufthansa four four zero eight radar contact continue advi  as cleared i ll call you back with climb in approximately twenty miles
atcosim_corpus,atcosim_corpus/sample_135.wav,bama one five good afternoon radar contact your heading
atcosim_corpus,atcosim_corpus/sample_136.wav,bama one five roger due to crossing traffic turn right heading of one eight zero i ll call you back with direct again
atcosim_corpus,atcosim_corpus/sample_137.wav,lufthansa four seven zero three descend flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_138.wav,iberia three five three zero contact milan one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_139.wav,lufthansa four three nine zero milan one three four five two bye
atcosim_corpus,atcosim_corpus/sample_140.wav,air france six eight nine good afternoon squawk five seven two one
atcosim_corpus,atcosim_corpus/sample_141.wav,lufthansa three five zero five your heading now
atcosim_corpus,atcosim_corpus/sample_142.wav,lufthansa five three zero five roger turn right heading of zero one zero
atcosim_corpus,atcosim_corpus/sample_143.wav,balkan four three one contact reims on one three four four bye
atcosim_corpus,atcosim_corpus/sample_144.wav,lufthansa four four zero eight climb flight level three one zero
atcosim_corpus,atcosim_corpus/sample_145.wav,air france six eight nine radar contact call you back with direct
atcosim_corpus,atcosim_corpus/sample_146.wav,speed way three three five two
atcosim_corpus,atcosim_corpus/sample_147.wav,lufthansa five three zero five own navigation direct tango and further contact rhein control on one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_148.wav,klm three four six contact now rhein control on one two zero nine two bye bye
atcosim_corpus,atcosim_corpus/sample_149.wav,alitalia six four seven four contact rhein control on one two zero nine two bye bye
atcosim_corpus,atcosim_corpus/sample_150.wav,condor triple six
atcosim_corpus,atcosim_corpus/sample_151.wav,tarom seven five three four good afternoon radar contact maintain flight level three three zero proceed trasadingen zurich east fusse
atcosim_corpus,atcosim_corpus/sample_152.wav,alitalia one five eight proceed now direct luxeuil
atcosim_corpus,atcosim_corpus/sample_153.wav,good afternoon japanair four one nine radar contact descend flight level two five zero the rate at least two thousand until passing three three zero
atcosim_corpus,atcosim_corpus/sample_154.wav,lufthansa four four zero eight continue climb level three three zero
atcosim_corpus,atcosim_corpus/sample_155.wav,french line nine one six five contact milan one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_156.wav,lufthansa four seven zero three contact milan one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_157.wav,air france zero zero nine november good afternoon squawk two seven four four
atcosim_corpus,atcosim_corpus/sample_158.wav,roger air france two six two one radar contact anyhow squawk two seven seven three
atcosim_corpus,atcosim_corpus/sample_159.wav,bama one five resume own navigation direct resia
atcosim_corpus,atcosim_corpus/sample_160.wav,speed way three three five two
atcosim_corpus,atcosim_corpus/sample_161.wav,ltu one six zero two good afternoon radar contact climb flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_162.wav,lufthansa four four zero eight direct st prex
atcosim_corpus,atcosim_corpus/sample_163.wav,station calling say again your callsign please
atcosim_corpus,atcosim_corpus/sample_164.wav,alitalia one five zero roger squawk two seven four five
atcosim_corpus,atcosim_corpus/sample_165.wav,speed way three three five two roger good afternoon proceed inbound zurich east fusse descend flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_166.wav,ltu one six zero two left turn ten degrees
atcosim_corpus,atcosim_corpus/sample_167.wav,alitalia one five zero radar contact climb flight level three zero zero direct karlsruhe
atcosim_corpus,atcosim_corpus/sample_168.wav,japanair four one nine contact milan on one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_169.wav,reach six zero one five three roger non rvsm maintain flight level three zero zero and continue heading
atcosim_corpus,atcosim_corpus/sample_170.wav,air france six eight nine turn left inbound hochwald morok
atcosim_corpus,atcosim_corpus/sample_171.wav,ltu one six zero two direct st prex
atcosim_corpus,atcosim_corpus/sample_172.wav,lufthansa four four zero eight contact geneva one three three one five bye bye
atcosim_corpus,atcosim_corpus/sample_173.wav,good afternoon condor six zero seven radar contact maintain flight level three four zero direct trasadingen tango
atcosim_corpus,atcosim_corpus/sample_174.wav,reach six zero one five three resume own navigation direct tango
atcosim_corpus,atcosim_corpus/sample_175.wav,speed way three three five two contact milan one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_176.wav,tarom seven five three four contact milan one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_177.wav,crossair six six three
atcosim_corpus,atcosim_corpus/sample_178.wav,ltu six six correction ltu one six zero two contact now geneva one three three decimal one five bye bye
atcosim_corpus,atcosim_corpus/sample_179.wav,reach six zero one five three and maintain your clearance direct dinkelsbuhl
atcosim_corpus,atcosim_corpus/sample_180.wav,reach one five three direct dinkelsbuhl
atcosim_corpus,atcosim_corpus/sample_181.wav,lufthansa three six zero four good afternoon radar contact maintain flight level two nine zero proceed trasadingen saronno two eight zero cruising level
atcosim_corpus,atcosim_corpus/sample_182.wav,lufthansa three six zero four climb flight level three three zero rate at least two thousand until three one zero climbing
atcosim_corpus,atcosim_corpus/sample_183.wav,alitalia one five eight contact reims one three four four bye
atcosim_corpus,atcosim_corpus/sample_184.wav,bama one five contact milan one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_185.wav,spar eight nine good afternoon squawk two seven seven four
atcosim_corpus,atcosim_corpus/sample_186.wav,spar eight nine radar contact proceed on radar heading of two five five and i ll have to give you radar change are your looking for higher or lower
atcosim_corpus,atcosim_corpus/sample_187.wav,roger call you back
atcosim_corpus,atcosim_corpus/sample_188.wav,reach six zero one five three contact rhein control on one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_189.wav,air france zero nine november fly heading of two seven zero
atcosim_corpus,atcosim_corpus/sample_190.wav,spar eight nine for further climb contact radar on one three three decimal four and state your heading to radar bye bye
atcosim_corpus,atcosim_corpus/sample_191.wav,air france six eight nine contact reims one three four four bye
atcosim_corpus,atcosim_corpus/sample_192.wav,air france zero nine november continue heading of two eight zero
atcosim_corpus,atcosim_corpus/sample_193.wav,yeah just fly heading of two eight zero
atcosim_corpus,atcosim_corpus/sample_194.wav,air france two six two one contact reims one three four decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_195.wav,lufthansa four seven zero zero good afternoon radar contact trasadingen st prex
atcosim_corpus,atcosim_corpus/sample_196.wav,air malta four five zero good afternoon squawk seven five three four
atcosim_corpus,atcosim_corpus/sample_197.wav,air france zero nine november resume own navigation direct hochwald and morok and further contact reims on one three four decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_198.wav,that s correct and contact reims one three four decimal four
atcosim_corpus,atcosim_corpus/sample_199.wav,air malta four five zero radar contact proceed inbound ageri zurich east nelli
atcosim_corpus,atcosim_corpus/sample_200.wav,air malta one zero four good evening squawk five seven three zero
atcosim_corpus,atcosim_corpus/sample_201.wav,alitalia one five zero contact rhein control one two zero nine two bye bye
atcosim_corpus,atcosim_corpus/sample_202.wav,condor six zero seven contact rhein control on one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_203.wav,air malta one zero four radar contact call you back with further routing
atcosim_corpus,atcosim_corpus/sample_204.wav,good afternoon portugalia five four three radar contact climb flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_205.wav,tun air four eight zero two good afternoon squawk two seven five one
atcosim_corpus,atcosim_corpus/sample_206.wav,lufthansa three six zero four left turn ten degrees
atcosim_corpus,atcosim_corpus/sample_207.wav,french air force four four one zero good afternoon radar contact descend flight level three two zero
atcosim_corpus,atcosim_corpus/sample_208.wav,good afternoon airlink one three radar contact maintain flight level three one zero flight planned route
atcosim_corpus,atcosim_corpus/sample_209.wav,lauda one zero nine good afternoon maintain flight level three four zero squawk two seven four six
atcosim_corpus,atcosim_corpus/sample_210.wav,alitalia four one six good afternoon squawk zero four two zero correction seven five three three sorry
atcosim_corpus,atcosim_corpus/sample_211.wav,tunis air four eight zero two radar contact direct karlsruhe
atcosim_corpus,atcosim_corpus/sample_212.wav,french air force four four one zero descend to flight level two nine zero and radar a heading of zero nine zero
atcosim_corpus,atcosim_corpus/sample_213.wav,lauda one zero nine radar contact maintain flight level three four zero and set course inbound hochwald luxeuil
atcosim_corpus,atcosim_corpus/sample_214.wav,air berlin five two six one good afternoon radar contact maintain flight level three three zero trasadingen st prex
atcosim_corpus,atcosim_corpus/sample_215.wav,aero lloyd five three three good afternoon radar contact direct nelli
atcosim_corpus,atcosim_corpus/sample_216.wav,lufthansa three five five zero good afternoon radar contact trasadingen canne
atcosim_corpus,atcosim_corpus/sample_217.wav,alitalia four one six radar contact climb flight level three zero zero final level
atcosim_corpus,atcosim_corpus/sample_218.wav,alitalia four four good afternoon squawk seven five three two
atcosim_corpus,atcosim_corpus/sample_219.wav,tun air four eight zero two right turn ten degrees
atcosim_corpus,atcosim_corpus/sample_220.wav,alitalia four one six right turn ten degrees
atcosim_corpus,atcosim_corpus/sample_221.wav,alitalia four zero four right turn ten degrees
atcosim_corpus,atcosim_corpus/sample_222.wav,air france six seven zero good afternoon descend flight level three three zero on radar heading of one nine zero
atcosim_corpus,atcosim_corpus/sample_223.wav,air malta one zero four due to traffic descend flight level three three zero
atcosim_corpus,atcosim_corpus/sample_224.wav,roger call you back
atcosim_corpus,atcosim_corpus/sample_225.wav,air malta one zero four in that case maintain three four zero for the time
atcosim_corpus,atcosim_corpus/sample_226.wav,alitalia three two four good afternoon squawk five seven four seven
atcosim_corpus,atcosim_corpus/sample_227.wav,ifo two two bravo good afternoon squawk seven five three five
atcosim_corpus,atcosim_corpus/sample_228.wav,portugalia five four three contact geneva one three three one five
atcosim_corpus,atcosim_corpus/sample_229.wav,french air force four four one zero own navigation fusse contact milan one three four five two bye
atcosim_corpus,atcosim_corpus/sample_230.wav,air france six seven zero descend flight level two five zero rate at least two thousand five hundred
atcosim_corpus,atcosim_corpus/sample_231.wav,air france six seven zero descend flight level two five zero rate at least two thousand five hundred
atcosim_corpus,atcosim_corpus/sample_232.wav,lufthansa three six zero four own navigation canne
atcosim_corpus,atcosim_corpus/sample_233.wav,crossair five one eight good afternoon radar contact call you back with higher continue heading
atcosim_corpus,atcosim_corpus/sample_234.wav,lufthansa five nine three one good afternoon radar contact maintain flight level three four zero continue present heading until advised
atcosim_corpus,atcosim_corpus/sample_235.wav,alitalia three two four radar contact flight planned route
atcosim_corpus,atcosim_corpus/sample_236.wav,tunis air four eight zero two direct karlsruhe
atcosim_corpus,atcosim_corpus/sample_237.wav,ifo two two bravo radar contact maintain flight level three four zero trasadingen luxeuil
atcosim_corpus,atcosim_corpus/sample_238.wav,air malta one zero four for climb clearance contact radar one three three point four bye bye
atcosim_corpus,atcosim_corpus/sample_239.wav,lufthansa three six zero four contact milan on re  frequency one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_240.wav,air france six seven zero own navigation canne
atcosim_corpus,atcosim_corpus/sample_241.wav,lufthansa four seven zero zero contact geneva on one three three one five bye bye
atcosim_corpus,atcosim_corpus/sample_242.wav,alitalia four one six continue inbound ageri zurich east nelli
atcosim_corpus,atcosim_corpus/sample_243.wav,alitalia four zero four ageri zurich east nelli
atcosim_corpus,atcosim_corpus/sample_244.wav,sata nine six zero one good afternoon squawk two seven six four
atcosim_corpus,atcosim_corpus/sample_245.wav,lufthansa five nine three one right turn ten degrees
atcosim_corpus,atcosim_corpus/sample_246.wav,crossair five one eight confirm type of aircraft
atcosim_corpus,atcosim_corpus/sample_247.wav,alright and confirm you are looking for three hundred to cruise
atcosim_corpus,atcosim_corpus/sample_248.wav,alright crossair five one eight then climb flight level three zero zero
atcosim_corpus,atcosim_corpus/sample_249.wav,sata nine six zero one continue heading until advised
atcosim_corpus,atcosim_corpus/sample_250.wav,air malta four five zero contact rhein control one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_251.wav,lufthansa four seven seven zero
atcosim_corpus,atcosim_corpus/sample_252.wav,lufthansa four seven zero zero roger what is your position
atcosim_corpus,atcosim_corpus/sample_253.wav,yeah lufthansa four seven zero zero could you give geneva one three three one five please
atcosim_corpus,atcosim_corpus/sample_254.wav,air france six four seven good afternoon squawk five seven two seven
atcosim_corpus,atcosim_corpus/sample_255.wav,alitalia
atcosim_corpus,atcosim_corpus/sample_256.wav,alitalia four one six and alitalia five zero four inbound zurich east
atcosim_corpus,atcosim_corpus/sample_257.wav,sata nine six zero one descend flight level three three zero
atcosim_corpus,atcosim_corpus/sample_258.wav,lufthansa five five zero four good afternoon radar contact maintain flight level three three zero proceed direct fribourg
atcosim_corpus,atcosim_corpus/sample_259.wav,good afternoon golf juliett india radar contact descend flight level three three zero
atcosim_corpus,atcosim_corpus/sample_260.wav,lauda one zero nine set course direct luxeuil and contact reims one three four four bye bye
atcosim_corpus,atcosim_corpus/sample_261.wav,aero lloyd five three three contact rhein control on one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_262.wav,aero lloyd five three three
atcosim_corpus,atcosim_corpus/sample_263.wav,aero lloyd five three three contact rhein control one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_264.wav,airlink one three contact milan one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_265.wav,air france six seven zero contact milan one three four five two bye bye
atcosim_corpus,atcosim_corpus/sample_266.wav,lufthansa four six six five
atcosim_corpus,atcosim_corpus/sample_267.wav,merair six nine five two good afternoon radar contact maintain flight level two nine zero for the time trasadingen saronno
atcosim_corpus,atcosim_corpus/sample_268.wav,sata nine six zero one you are cleared direct st prex
atcosim_corpus,atcosim_corpus/sample_269.wav,merair six nine five two climb flight level three three zero
atcosim_corpus,atcosim_corpus/sample_270.wav,roger your rate of climb at least two thousand
atcosim_corpus,atcosim_corpus/sample_271.wav,ifo two two bravo inbound luxeuil
atcosim_corpus,atcosim_corpus/sample_272.wav,tunis air four eight zero two contact rhein control one two zero nine two bye bye
atcosim_corpus,atcosim_corpus/sample_273.wav,lufthansa five nine three one set course direct tango
atcosim_corpus,atcosim_corpus/sample_274.wav,crossair five one eight turn left heading zero two zero
atcosim_corpus,atcosim_corpus/sample_275.wav,golf juliett india descend flight level two five zero
atcosim_corpus,atcosim_corpus/sample_276.wav,sorry i missed your destination descend flight level two nine zero
atcosim_corpus,atcosim_corpus/sample_277.wav,alitalia three two four turn left to hochwald
atcosim_corpus,atcosim_corpus/sample_278.wav,alitalia four one six contact rhein control one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_279.wav,alitalia four zero four contact rhein control one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_280.wav,delta mike india roger what is your destination
atcosim_corpus,atcosim_corpus/sample_281.wav,roger
atcosim_corpus,atcosim_corpus/sample_282.wav,alitalia two nine one good afternoon radar contact maintain flight level three three zero trasadingen canne
atcosim_corpus,atcosim_corpus/sample_283.wav,lufthansa four six six five good afternoon radar contact descend to flight level three four zero
atcosim_corpus,atcosim_corpus/sample_284.wav,lufthansa five nine three one contact rhein control on one three two decimal four bye bye
atcosim_corpus,atcosim_corpus/sample_285.wav,air berlin five two six one contact geneva one three three one five bye bye
atcosim_corpus,atcosim_corpus/sample_286.wav,crossair five one eight direct tango
atcosim_corpus,atcosim_corpus/sample_287.wav,delta foxtrot sierra roger i ll call you back
atcosim_corpus,atcosim_corpus/sample_288.wav,air france six eight zero roger descend flight level three four zero
atcosim_corpus,atcosim_corpus/sample_289.wav,israeli four four two good afternoon call you back with lower
atcosim_corpus,atcosim_corpus/sample_290.wav,lufthansa five five zero four descend flight level two five zero your rate of descent at least two thousand five hundred
atcosim_corpus,atcosim_corpus/sample_291.wav,air france six eight zero descend flight level three three zero
atcosim_corpus,atcosim_corpus/sample_292.wav,sata s  nine six zero one turn right ten degrees
